indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
2183,.,.,.,Puberty and initiation,.,.,Games,Drives and emotions,.,.,.,.,.,.,.,1-10 hours,No recurrence,Multiple singers (number unknown),Adolescent/young adult,Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2184,.,.,.,Humor,.,.,Humor,Ingroup antagonisms,.,"Sickness, medical care, and shamans",Ingroup antagonisms,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2185,Humor,.,.,Humor,.,.,Humor,.,.,Humor,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
2186,Humor,.,.,.,.,.,Humor,.,.,Ingroup antagonisms,Human Biology,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2187,Inter-community relations,.,.,.,.,.,Communication,.,.,Traditional history,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
2188,.,.,.,.,.,.,Socialization and education,.,.,Crimes (violations of laws and rules),Offenses and sanctions,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2189,.,.,.,Acculturation and culture contact,.,.,Socialization and education,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2190,Fishing,.,.,Fishing,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Female,.,Hunters,.,.,.,.,.,.,.,.,.,.,.
2191,Games,.,.,.,.,.,Games,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2193,Games,.,.,Games,Travel and transportation,Labor,Games,Drives and emotions,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,Other group (incl. proper names),.,Multiple singers (number unknown),All ages,.,.,.,.,.,.,.,.
2194,Dance,.,.,Dance,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2195,Dance,.,.,Dance,.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
2196,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Dance,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,Fauna,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2197,Puberty and initiation,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2198,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,Drives and emotions,Adornment,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2199,War,.,.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Dance,Drives and emotions,War,.,.,.,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2200,Puberty and initiation,.,.,Puberty and initiation,Dance,.,Communication,Puberty and initiation,.,Daily routine,Drives and emotions,Fauna,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Both sexes,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",Adolescents,Idiophone,.,.
2201,.,.,.,Puberty and initiation,Dance,.,Communication,Drives and emotions,.,Food consumption,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2202,.,.,.,Drives and emotions,Marriage,.,Drives and emotions,Marriage,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,.,.
2203,.,.,.,Drives and emotions,Marriage,.,Drives and emotions,Marriage,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,.,.
2204,.,.,.,Drives and emotions,Marriage,.,Drives and emotions,Marriage,.,Fauna,Climate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,.,.
2205,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",Dance,.,Puberty and initiation,.,.,Fire,Travel and transportation,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),.,.,Multiple lines,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2206,.,.,.,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2207,.,.,.,"Sickness, medical care, and shamans",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Fauna,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2208,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",Dance,.,Puberty and initiation,.,.,Fauna,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Weapons,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),.,.,Multiple lines,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2209,.,.,.,Drives and emotions,.,.,Drives and emotions,.,.,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2210,.,.,.,.,.,.,Socialization and education,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2211,.,.,.,.,.,.,Communication,.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2212,.,.,.,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2213,.,.,.,.,.,.,.,.,.,Traditional history,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2214,Acculturation and culture contact,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2216,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Agriculture,.,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2217,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Agriculture,.,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Agriculture,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2218,Water and thirst,Climate,.,Dance,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Agriculture,.,Water and thirst,Agriculture,Climate,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,1,.,Male,.,Other group (incl. proper names),.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2219,Fauna,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Dance,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Fauna,Agriculture,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2220,"Status, role, and prestige",.,.,.,.,.,Norms,Laws & Rules,.,Political behavior,"Status, role, and prestige",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2221,.,.,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Socialization and education,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2222,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,Climate,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Agriculture,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2223,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,Climate,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Climate,Agriculture,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2224,Spectacles,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Dance,Recreational and non-therapeutic drugs,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2225,.,.,.,Dance,.,.,.,.,.,Fauna,Adornment,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,.,.
2226,.,.,.,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Agriculture,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Traditional history,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
2227,Spectacles,"Sickness, medical care, and shamans",.,Dance,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,"Family (includes nuclear family, polygamy, adoption)","Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2228,Fauna,War,Laws & Rules,.,.,.,Hunting and trapping,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Agriculture,Fauna,War,Political behavior,Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2229,Annual cycle,.,.,Dance,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Annual cycle,Food consumption,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2230,Spectacles,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2231,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Food consumption,.,Dance,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Climate,Flora,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2232,Annual cycle,.,.,.,.,.,Agriculture,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Climate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2233,Annual cycle,Agriculture,.,.,.,.,Agriculture,.,.,Agriculture,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Fauna,Adornment,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2234,Annual cycle,.,.,.,.,.,Climate,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Climate,Ideas about nature and people,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2235,Climate,Agriculture,.,.,.,.,Annual cycle,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2236,Food consumption,Agriculture,Fauna,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Agriculture,.,Flora,Recreational and non-therapeutic drugs,Annual cycle,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2237,Climate,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,Annual cycle,Climate,Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2238,Agriculture,.,.,.,.,.,Agriculture,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Agriculture,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2239,Annual cycle,.,.,.,.,.,Drives and emotions,Agriculture,.,Annual cycle,Water and thirst,Climate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aerophone,.,.
2240,Building and construction,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,.,.,Dwellings,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Annual cycle,Building and construction,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2241,Fauna,.,.,Dance,.,.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2242,Agriculture,.,.,Socialization and education,Communication,.,Agriculture,Climate,.,Agriculture,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Climate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2243,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,Fauna,Fishing,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2244,Recreational and non-therapeutic drugs,.,.,.,.,.,Friendships,Drives and emotions,.,Recreational and non-therapeutic drugs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2245,Puberty and initiation,.,.,.,.,.,Puberty and initiation,.,.,"Food processing (includes food preparation, storage, and preservation)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2246,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2247,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Dance,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2248,.,.,.,Dance,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
2249,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
2250,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
2251,Traditional history,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Status, role, and prestige",.,.,.,"Status, role, and prestige",Socialization and education,.,Traditional history,.,.,.,.,.,1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Male,Both married & unmarried,Adults,.,.,.,.
2252,Laws & Rules,Peacemaking (maintaining peace),.,.,.,.,Ingroup antagonisms,Crimes (violations of laws and rules),Laws & Rules,Ingroup antagonisms,Offenses and sanctions,Peacemaking (maintaining peace),"Status, role, and prestige",.,.,1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2253,.,.,.,Dance,.,.,Traditional history,.,.,Fauna,.,.,.,.,.,1-10 hours,No recurrence,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2254,.,.,.,Dance,.,.,Traditional history,.,.,Ideas about nature and people,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,1-10 hours,No recurrence,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2255,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Dance,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Communication,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,.,.,.,.,.,.,.
2256,.,.,.,Traditional history,.,.,Traditional history,Socialization and education,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2257,.,.,.,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,Drives and emotions,Socialization and education,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2258,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2259,.,.,.,Dance,"Family (includes nuclear family, polygamy, adoption)",.,Socialization and education,"Family (includes nuclear family, polygamy, adoption)",Norms,Traditional history,"Kin groups (clans, tribes, nation)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),Adult,.,.,.,Head/face & shoulders,.,1,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
2260,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
